topic,question_id,case_study,question,a,b,c,d,e,f,g,h,i,j,k,l
Management context,2.4.9.2.,Aguion,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Aguion,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Aguion,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Aguion,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Aguion,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Aguion,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Aguion,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Aguion,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Aguion,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Aguion,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Aguion,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Burden,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Burden,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,b,NA,NA,e,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Burden,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Burden,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Burden,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe: 
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Burden,"Do power relations cause tension within the fishery?
A. Yes, please describe: 
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Burden,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",NA,b,NA,NA,e,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.3.,Burden,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Burden,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.5.,Burden,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Burden,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,NA,c,d,e,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Burden,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",a,NA,NA,NA,NA,NA,NA,h,NA,NA,NA,NA
Management context,2.4.8.1.,Burden,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",NA,b,c,d,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Burden,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Burden,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Burden,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Burden,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Burden,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Burden,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Burden,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Burden,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,NA,NA,e,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Burden,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Burden,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Burden,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Burden,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Dickey_Collas,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Dickey_Collas,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Dickey_Collas,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Dickey_Collas,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Dickey_Collas,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Dickey_Collas,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Dickey_Collas,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.3.,Dickey_Collas,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Dickey_Collas,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.5.,Dickey_Collas,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Dickey_Collas,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",a,NA,NA,NA,e,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Dickey_Collas,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Dickey_Collas,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",NA,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Dickey_Collas,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Dickey_Collas,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Dickey_Collas,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Dickey_Collas,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,c,NA,e,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Dickey_Collas,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Dickey_Collas,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Dickey_Collas,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Dickey_Collas,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Dickey_Collas,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Dickey_Collas,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Dickey_Collas,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Dickey_Collas,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Eurich,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Eurich,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,NA,NA,d,NA,f,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Eurich,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,NA,NA,d,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Eurich,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Eurich,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Eurich,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,2.4.3.5.,Eurich,Providing scientific information,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Eurich,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,h,NA,NA,NA,NA
Management context,2.4.7.3.,Eurich,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.4.,Eurich,"Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):",a,NA,NA,NA,NA,NA,NA,h,NA,NA,NA,NA
Management context,2.4.7.5.,Eurich,"How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):",NA,NA,NA,NA,e,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.6.,Eurich,"Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.7.,Eurich,"Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.8.1.,Eurich,"What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):",a,b,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.1.,Eurich,How is stock size tracked? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.2.,Eurich,"If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.9.3.,Eurich,"If stock assessments are not in place, are data synthesized in any manner to track stock size trends or status? If so, who conducts the synthesis? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.1.1.,Eurich,"Has the system experienced any major shocks in the last 20 years (detrimental or beneficial)?
A. No shocks
B. Environmental shocks (e.g. coral bleaching event, marine heatwave, king tide flooding or sea level rise, predator or invasive species outbreaks, disease events, typhoon/hurricane/cyclones, earthquake/tsunami, volcano, pollution, oil spills, nuclear disaster)
C. Governance/management shocks (e.g. change in political/ruling party, change in fishery management structure, change in management approach)
D. Socioeconomic shocks (e.g. military conflicts, public health crises, recessions, major supply chain disruptions)
E. Other (please specify):",NA,b,c,d,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.2.1.,Eurich,"Please identify the most important shocks (of any type) experienced in the system that have shaped its current structure, status, and capacities. Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.3.1.,Eurich,"What were the major impacts on natural (e.g., biological, oceanographic, coastal landscapes, habitat), human (e.g., economic, social, governmental), and coupled systems caused by the shock or shocks mentioned above? If multiple shocks occurred, please describe and be specific about which shocks caused which effects to the fishery or stock(s).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.4.1.,Eurich,"What actions were taken to alleviate such impacts, and who took (or contributed to) these actions? If multiple shocks occurred, please describe and be specific about which actions are associated with which shock.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.5.1.,Eurich,"Subsequently what happened to the natural, human, or coupled system?
A. Full recovery to the pre-shock state
B. Recovering towards the pre-shock state
C. Transformed to a different state but still providing valuable services
D. Transformed to different state but losing a majority of services
E. System still responding, outcome not yet known",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.6.1.,Eurich,"What kind of changes do we observe in the natural, human, or coupled systems if we compare pre-shock state to post-shock state? Describe briefly.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Shocks and system response,2.5.7.1.,Eurich,Did experiences during this shock lead to changes that will enhance resilience to future shocks? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.1.1.,Eurich,"What types of climate change projections are available for the system?
A. Global climate models only
B. Downscaled regional projects
C. Other (please specify):",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Climate projections,2.6.3.1.,Eurich,What are the key limitations of available climate projections in the context of this case study? Please describe.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.1.1.,Free,"Are cultural, traditional, and historic practices observable?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Social, political, and economic conditions and context",2.2.3.2.,Free,"What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",a,b,c,NA,e,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.3.,Free,"Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.5.4.,Free,"Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits",NA,NA,c,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.6.1.,Free,"Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Governance context,2.3.7.1.,Free,"Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No",a,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.2.,Free,"Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):",NA,b,NA,d,e,NA,NA,NA,NA,NA,NA,NA
Management context,2.4.7.3.,Free,"Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No",NA,b,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
