filename,authors,dimension,domain,attribute,score,score_desc,dont_know,not_relevant,quality,importance,mech_apply_yn,mech_apply_notes,notes,case_study
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Assets,Social diversity,3,NA,NA,NA,A - adequate and reliable data/information,medium,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Flexibility,Flexible and agile infrstructure,2,"The maritime and, increasingly health care, infrastructure necessary to process and transport the large volumes of groundfish caught in the Bering Sea requires large amounts of capital that are essentially stranded in very remote communities throughout the Bering Sea region and Aleutian Islands chain with little other viable economic uses [NPFMC 2021, BSAI Pacific Cod Trawl CV Cod Cooperative Program: https://meetings.npfmc.org/CommentReview/DownloadFile?p=b8e19123-5e2d-4dd6-a541-5eed3c5788dc.pdf&fileName=C4%20Trawl%20CV%20Cod%20Analysis%20.pdf]. However, the large scale and industrialized nature of the fishery provides opportunities to quickly respond to some events, such as increased travel costs for harvesting and processing workers due to COVID-19 restrictions, while also increasing the risk of large scale COVID-19 outbreaks onboard ships or at processing facilities resulting in partial or complete shutdowns [NMFS 2021, U.S. Seafood Industry and For-Hire Sector Impacts from COVID-19: 2020 in Perspective; USDA Seafood Processors Pandemic Response and Safety (SPRS Block Grant Program): https://www.ams.usda.gov/services/grants/sprs]. The recent $350 million fine and closure of an existing supply chain operation to the U.S. east coast by U.S. Customs and Border Protection against groundfish shipping companies operating out of Dutch Harbor, AK has highlighted the limits on cold storage capacity and need to move product from the productive Bering Sea fishing grounds through the ports and to consumers [Cliff White, Seafoodsource 9/17/21: https://www.seafoodsource.com/news/business-finance/hearing-set-to-determine-fate-of-us-cbp-s-jones-act-fines-against-american-seafoods-pollock-transporters].",NA,NA,B - limited data/information and expert judgement,high,no,"I'm not quite sure the answer is no, but I don't understand the definition and the mechanism. I'm not sure whether we are talking about the maleability of capital here or whether the entities that own the infrastruture have the capacity to draw on resources to adapt to changes. For this system, the former is low/no, the latter is high/yes, but they are different issues from an economics perspective and the definition and mechanism seem to conflate the two.",NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Flexibility,Mobility,3,"Quota restrictions allows for some stickiness in mobility across fisheries, as well as CDQ allocations are tied to particular communities within 50 miles of the EBS.",NA,NA,A - adequate and reliable data/information,medium,no,"I'm a little confused by this definition - is it whether the enabling conditions are there? Or are there and actively used to move occupations? I was thinking more along the lines of the increasing cost of entry into highly capitalized fisheries that limits their ability to change occupations given such large financial and human capital investments. As a Maine example that is similar to my own AK confusion, I'm not sure if people don't diversify away from lobster (or find work off the water) because they can't or because it doesn't make sense to (theres lots of money in lobsters) - but either way I'm not sure how to define their ""mobility"" here.",NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Flexibility,Economic opportunity,2,"Most landings highly dependent on transportation infrastructure out of Dutch Harbor with limited local employment opportunities - but most workers are brought in from outside the region. However, the pacific northwest where the harvesting fleet is from has plenty of opportunities (4).",NA,NA,B - limited data/information and expert judgement,low,yes,"Yes, but very heterogeneous outcomes for different stakeholder groups.",NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Flexibility,Resilience mindset,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Flexibility,Place attachment,4,"This is a 2 in regards to the harvesting fleet, but a 4 in regards to the local communities - particularly those with indigenous heritages.",NA,NA,A - adequate and reliable data/information,high,yes,"Yes, but again, the local communities are highly place based (and have some protections for continued fishing participation) but the fleet itself is highly industrial and non-local and can (and do) pretty much fish wherever.",NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Organization,Social capital,3,"Cooperatives allow easy communications and deveopment of relationships among vessel owners. However, there is some tension between the social license for these cooperatives to fish with local communities due to bycatch of locally important species for commercial and subsistence activities.",NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Organization,Technology transfer,4,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Organization,Modular infrastructure,1,"The basis for this scoring is largely the pollock shipping story from row 27 above. A lot depends on getting product in and out of Dutch Harbor, and into cold storage elsewhere, so there are large costs when that process is impeded, suggesting the infrasturcture is not very modular.",NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,I think I answered this correctly but wanted to explain my thought process. I said fully connected because the seafood supply chain out of dutch harbor was recently shown to be highly dependent on a few shippers which caused delays and backups and a number of other problems after a US Customs and Border temporary action halted some pollock shipments and there wasn't sufficient excess capacity to either cold store nor transport the fish out of dutch harbor.,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Learning,Knowledge diversity,4,NA,NA,NA,A - adequate and reliable data/information,medium,yes,NA,Responses to 2.4.2.1 and 2.4.8.1 may be informative in shaping the response to this attribute.,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Learning,Knowledge access,3,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Learning,Learning capacity,4,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Socio-economic,Agency,Agency,4,NA,NA,NA,A - adequate and reliable data/information,medium,yes,NA,"Responses to 2.3.4.1, 2.3.6.1, and 2.3.7.1 may be informative in shaping the response to this attribute.",Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Governance,Flexibility,Responsive,4,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,Responses in S5 may be informative in shaping the response to this attribute.,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Governance,Organization,Participatory,3,NA,NA,NA,A - adequate and reliable data/information,medium,yes,NA,Responses to 2.3.3.1 and 2.3.4.1 may be informative in shaping the response to this attribute.,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Governance,Organization,Equitable and inclusive,3,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,Response to 4.3.1.3 may be informative in shaping the response to this attribute.,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Governance,Organization,Accountable,4,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Governance,Organization,Transparent,3,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Governance,Organization,Effective and efficient,4,See national standards.,NA,NA,B - limited data/information and expert judgement,high,yes,NA,NA,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Governance,Organization,Polycentric,2,NA,NA,NA,A - adequate and reliable data/information,low,yes,NA,Responses to 2.3.2.1 and 2.3.4.1 may be informative in shaping the response to this attribute.,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Governance,Organization,Cross-scale integration,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,Responses to 2.3.2.1 and 2.3.4.1 may be informative in shaping the response to this attribute.,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Governance,Learning,Adaptive,4,NA,NA,NA,A - adequate and reliable data/information,high,yes,"Yes, but we have also been too adaptive too quickly sometimes when we have responded to signals that we didn't fully understand - this can increase uncertainty if management is adapting to changes too quickly and also increase adjustment costs for fishers.",Responses in S5 may be informative in shaping the response to this attribute.,Bering Sea groundfish
Case Study Bering Sea.xlsx,Hollowed/Kasperski,Governance,Agency,Leadership and initiative,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,yes,NA,NA,Bering Sea groundfish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Assets,Population abundance,2,"It is difficult to describe this as one number since I am referencing a multi-species system. However, I would grade this as the average quality of the reef in terms of biomass",NA,NA,A - adequate and reliable data/information,high,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Assets,Age structure,NA,Not well studied,NA,NA,E - No data,NA,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Assets,Genetic diversity,NA,I don't know what this means,NA,NA,E - No data,NA,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Assets,Species diversity,4,NA,NA,NA,A - adequate and reliable data/information,high,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Flexibility,Adult mobility,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,low,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Flexibility,Larval dispersal,NA,NA,NA,NA,E - No data,NA,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Flexibility,Environmental niche breadth,2,Most species are coral reef dependent and thus classifying as weak capacity to acclimate.,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Flexibility,Dietary flexibility,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,low,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Flexibility,Habitat diversity,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Flexibility,Plasticity,NA,I don't know,NA,NA,E - No data,low,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Flexibility,Evolutionary potential,2,Coral reefs are typically very threatened by a changing climate,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Organization,Ecosystem connectivity,2,I confess I don't really know what this means and it may be good to have a true fisheries ecologist review my answers.,NA,NA,D - not confident that the answer provided reflects the true state of the system,medium,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Ecological,Organization,Population modularity,4,NA,NA,NA,D - not confident that the answer provided reflects the true state of the system,high,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Assets,Wealth and reserves,2,NA,NA,NA,A - adequate and reliable data/information,low,NA,NA,Response to 2.2.3.1 may be informative in shaping the response to this attribute.,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Assets,Economic diversity,2,NA,NA,NA,A - adequate and reliable data/information,high,NA,NA,Responses to 2.2.3.7 and 2.2.3.10 may be informative in shaping the response to this attribute.,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Assets,Social diversity,2,NA,NA,NA,A - adequate and reliable data/information,low,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Flexibility,Flexible and agile infrstructure,1,NA,NA,NA,A - adequate and reliable data/information,low,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Flexibility,Mobility,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Flexibility,Economic opportunity,2,NA,NA,NA,A - adequate and reliable data/information,high,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Flexibility,Resilience mindset,4,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Flexibility,Place attachment,4,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Organization,Social capital,4,NA,NA,NA,A - adequate and reliable data/information,low,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Organization,Technology transfer,2,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,low,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Organization,Modular infrastructure,NA,NA,NA,NA,E - No data,NA,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Learning,Knowledge diversity,3,NA,NA,NA,A - adequate and reliable data/information,low,NA,NA,Responses to 2.4.2.1 and 2.4.8.1 may be informative in shaping the response to this attribute.,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Learning,Knowledge access,1,In reference to scientific knowledge,NA,NA,A - adequate and reliable data/information,low,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Learning,Learning capacity,3,NA,NA,NA,A - adequate and reliable data/information,high,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Socio-economic,Agency,Agency,2,"Most individuals feel constrained by taboos, ancestral constraints and retribution, and lack of power in representation with people who have decision-making power",NA,NA,A - adequate and reliable data/information,low,NA,NA,"Responses to 2.3.4.1, 2.3.6.1, and 2.3.7.1 may be informative in shaping the response to this attribute.",Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Governance,Flexibility,Responsive,2,Limited scientific data and limited consultation with local communities makes LMMA and MPA regulations slow to adapt,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,medium,NA,NA,Responses in S5 may be informative in shaping the response to this attribute.,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Governance,Organization,Participatory,3,NA,NA,NA,B - limited data/information and expert judgement,medium,NA,NA,Responses to 2.3.3.1 and 2.3.4.1 may be informative in shaping the response to this attribute.,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Governance,Organization,Equitable and inclusive,2,NA,NA,NA,B - limited data/information and expert judgement,high,NA,NA,Response to 4.3.1.3 may be informative in shaping the response to this attribute.,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Governance,Organization,Accountable,3,LMMAs and Marine National parks have systems for accountability while traditionally managed villages do not have systems of accountability for fishing.,NA,NA,A - adequate and reliable data/information,high,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Governance,Organization,Transparent,3,"Transparent in writing and protocol, though not necessarily in practice",NA,NA,A - adequate and reliable data/information,low,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Governance,Organization,Effective and efficient,3,NA,NA,NA,B - limited data/information and expert judgement,high,NA,NA,NA,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Governance,Organization,Polycentric,3,NA,NA,NA,A - adequate and reliable data/information,medium,NA,NA,Responses to 2.3.2.1 and 2.3.4.1 may be informative in shaping the response to this attribute.,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Governance,Organization,Cross-scale integration,3,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,low,NA,NA,Responses to 2.3.2.1 and 2.3.4.1 may be informative in shaping the response to this attribute.,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Governance,Learning,Adaptive,2,NA,NA,NA,A - adequate and reliable data/information,medium,NA,NA,Responses in S5 may be informative in shaping the response to this attribute.,Madagascar reef fish
Chris Golden_Case Study Rubric.xlsx,Golden,Governance,Agency,Leadership and initiative,2,NA,NA,NA,B - limited data/information and expert judgement,medium,NA,NA,NA,Madagascar reef fish
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Assets,Population abundance,4,NA,NA,NA,A - adequate and reliable data/information,medium,yes,NA,NA,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Assets,Age structure,2,NA,NA,NA,A - adequate and reliable data/information,medium,no,the cod model may not be appropriate in some pelagics. Old herring and sardine move back down the trophic chain - shfting some grazing of zooplankton to filtering phyoplankton. Also older herring fecundity per weight may drop,NA,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Assets,Genetic diversity,2,changed after review Farrell work on horse mackerel,NA,NA,A - adequate and reliable data/information,low,yes,tonnes of work on herring genetic diversity,NA,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Assets,Species diversity,3,NA,NA,NA,A - adequate and reliable data/information,low,yes,"the appearence of anchovy, sardine and return of tuna offer alternatives to the fishing fleet",NA,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Flexibility,Adult mobility,3,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,greatly studies in mackerel and herring,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Flexibility,Larval dispersal,4,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,http://www.int-res.com/articles/meps2009/390/m390p183.pdf,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Flexibility,Environmental niche breadth,3,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,less so blue whiting,"see three publications     
 https://www.ices.dk/sites/pub/Publication%20Reports/Cooperative%20Research%20Report%20(CRR)/CRR301.pdf 
  https://onlinelibrary.wiley.com/doi/abs/10.1111/fog.12010
    https://www.ices.dk/sites/pub/Publication%20Reports/Cooperative%20Research%20Report%20(CRR)/CRR306.pdf",NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Flexibility,Dietary flexibility,4,NA,NA,NA,A - adequate and reliable data/information,high,NA,NA,NA,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Flexibility,Habitat diversity,2,NA,NA,NA,A - adequate and reliable data/information,medium,no,pelagic habitat,NA,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Flexibility,Plasticity,3,NA,NA,NA,A - adequate and reliable data/information,high,yes,especially herring,https://academic.oup.com/icesjms/article/66/8/1649/674956,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Flexibility,Evolutionary potential,3,NA,NA,NA,B - limited data/information and expert judgement,high,yes,NA,NA,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Organization,Ecosystem connectivity,4,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,"Pelagic fish - tonnes and tonnes of papers on herring, mackerel, blue whiting, fewer on horse mackerel",NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Ecological,Organization,Population modularity,2,still needs further study,NA,NA,A - adequate and reliable data/information,medium,yes,NA,"herring are modular, linked to spawning seasons and spawning grounds, 
but the other species are not so much, but mackerel are also mildly geographically fixed  
https://onlinelibrary.wiley.com/doi/abs/10.1111/fog.12242http://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/1117      
",NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Socio-economic,Assets,Wealth and reserves,4,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,"Response to 2.2.3.1 may be informative in shaping the response to this attribute.
Of individual not communties",NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Socio-economic,Assets,Economic diversity,4,NA,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,high,yes,NA,NA,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Socio-economic,Assets,Social diversity,2,"Comments from review, also limited diveristy of thought and background of crew.  limited rotation of crew, crew are committed, often long time based",NA,NA,B - limited data/information and expert judgement,medium,no,"the issue of imported workforce to crew ships and processing onbaord- suggests diversity but these workforce have no power, no voice, no agency (in this fishery mostly eastern Europe and east Asia).
There a fewer communtiy imapcts from this fishery compared to one like EU demersal fleets","These are rich family owned enterprises - usually from 1 to 5 families per country, owning all the vessels. so diversity is limited",NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Socio-economic,Flexibility,Flexible and agile infrstructure,4,review changed information base from C to B,NA,NA,B - limited data/information and expert judgement,high,NA,NA,NA,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Socio-economic,Flexibility,Mobility,4,Review: also able to move to toher global fisheries,NA,NA,A - adequate and reliable data/information,low,yes,NA,"also the governance system and the access to decision makers means that the fishers can access new opportunties globally, with the negoiating power of the EU behind them - so asisted mobility",NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Socio-economic,Flexibility,Economic opportunity,4,NA,NA,NA,A - adequate and reliable data/information,high,yes,NA,"also the governance system and the access to decision makers means that the fishers can access new opportunties, with the negoiating power of the EU behind them - so increase opportunity",NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Socio-economic,Flexibility,Resilience mindset,3,NA,NA,NA,B - limited data/information and expert judgement,medium,yes,NA,NA,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Socio-economic,Flexibility,Place attachment,2,review chaned from 1 to 2. Connected to communties as bases for industry. but the operations are not attached.,NA,NA,C - fairly confident that the answer provided reflects the true state of the system,low,no,"the HQs of operations are highly place dependent- e.g. the cultural importance of herring, or fishing, but the fishing operations themselves can be less place dependent",NA,NE Atlantic pelagic
Dickey-Collas_EUR_case study template.xlsx,Dickey-Collas,Socio-economic,Organization,Social capital,4,Review add: a lot of social connectivity in the industry,NA,NA,B - limited data/information and expert judgement,high,yes,NA,NA,NE Atlantic pelagic
