"filename","case_study","authors","topic","subsection","question_id","question","A","B","C","D","E","F","G","H","I","J","K","L","other","description","dont_know","not_relevant","info_quality","notes","extra","extra.1"
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.1. Social","2.2.1.3.","How dependent are the communities on the fishery for food or nutrition compared to their dependence on other food options? Please indicate the general range if there is a high degree of variability among participants.
A. High
B. Moderate
C. Low
D. NA",NA,NA,"c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Majority of the catch is exported out of the US.",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.1. Social","2.2.1.4.","Are any groups particularly dependent on this fishery for food or nutrition?
A. Indigenous
B. Women
C. Rural
D. Other (please specify):",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Majority of the catch is exported out of the US.",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.2. Political--governance quality","2.2.2.1.","What is the average of the following indicator in the World Bank's Governance Indicators, each scored [-2.5,2.5] ? Government Effectiveness",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.2. Political--governance quality","2.2.2.2.","What is the average of the following indicator in the World Bank's Governance Indicators, each scored [-2.5,2.5] ? Regulatory Quality",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.3",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.2. Political--governance quality","2.2.2.3.","What is the average of the following indicator in the World Bank's Governance Indicators, each scored [-2.5,2.5] ? Rule of Law",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.5",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.2. Political--governance quality","2.2.2.4.","What is the average of the following indicator in the World Bank's Governance Indicators, each scored [-2.5,2.5] ? Control of Corruption",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.2",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.2. Political--governance responsiveness","2.2.2.5.","What is the average of the following indicator in the World Bank's Governance Indicators, each scored [-2.5,2.5] ? Voice and Accountability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.0",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.2. Political--governance responsiveness","2.2.2.6.","What is the average of the following indicator in the World Bank's Governance Indicators, each scored [-2.5,2.5] ? Political Stability",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.3",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.3 Economic","2.2.3.1.","Which income category does(do) the harvesting country(ies) belong to (see definition by World Bank here)?
A. High
B. Upper-middle
C. Lower-middle
D. Low","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.3 Economic","2.2.3.2.","What kind of sectors operate in the fishery?
A. Small operators
B. Large operators
C. Recreational
D. Artisanal
E. Indigenous
F. Other (please specify):",NA,"b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anne, I'm not sure what indigenous population you're thinking of here or for what species (cod? it's a really small amount proportionally for the fishery and for food security in the region).",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.3 Economic","2.2.3.3.","What is the current landed volume? Please describeand indicate year represented:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1912.8 thousand tons (2019)",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.3 Economic","2.2.3.4.","What is the current landed value? Please describe and indicate year represented:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"$838.5 million dollars (2019; ex-vessel)",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.3 Economic","2.2.3.5.","What are the trends in landings over the past 10 years? (For a multispecies fishery, this response should represent the fishery as a whole, not individual stocks.)
A. Increasing
B. Declining
C. Stable
D. Variable with no clear trend
E. Data deficient",NA,NA,"c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.3 Economic","2.2.3.6.","Approximately how many vessels participate? Please describe and estimate of number or order of magnitude: tens, hundreds, thousands:",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Approximately 250, ~68 are catcher/processors and ~182 catcher vessels",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.3 Economic","2.2.3.7.","How dependent are harvesters on the fishery for jobs and income compared to their other livelihood options? Please indicate the general range if there is a high degree of variability among participants.
A. High
B. Moderate
C. Low
D. NA","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.3 Economic","2.2.3.8.","How dependent are shoreside businesses on the fishery for jobs and income compared to their other livelihood options? Please indicate the general range if there is a high degree of variability among participants.
A. High
B. Moderate
C. Low
D. NA","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.3 Economic","2.2.3.9.","How dependent are dealer/processors on the fishery for jobs and income compared to their other livelihood options? Please indicate the general range if there is a high degree of variability among participants.
A. High
B. Moderate
C. Low
D. NA","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.3 Economic","2.2.3.10.","How dependent is the community on the fishery for economic benefits compared to its other sources of revenue?
A.  High
B. Moderate
C. Low
D. NA","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Social, political, and economic conditions and context","2.2.3 Economic","2.2.3.11.","What is the primary purpose for utilization of the species harvested?
A. Fresh consumption
B. Processed (value-added) products (including both domestic and export-oriented)
C. Export product
D. Other (please specify):","a","b","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Governance context","2.3.1.","2.3.1.1.","Within which jurisdiction(s) is the fishery contained?
A. One domestic regional jurisdiction
B. Multiple domestic regional jurisdictions
C. One coastal state
D. Multiple coastal states
E. Areas Beyond National Jurisdiction (ABNJ)
F. Other (please specify):","a","b","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Governance context","2.3.2.","2.3.2.1.","What laws, policies and practices exist concerning the fishery and are they upheld? (If you know them, or can easily look up, please list name of the statute and year in 'notes' column)
A. International Treaty
B. National
C. Regional (State, Province, Prefecture, etc.)
D. Municipal/Local
E. Community (Including formal and informal rules and practices. implemented by local cooperatives, sectors, and other organizations)
F. Other (please specify):",NA,"b","c","d","e",NA,NA,NA,NA,NA,NA,NA,NA,"Yes, they are upheld",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Governance context","2.3.3.","2.3.3.1.","What is the nature of governance arrangements?
A. Top-down
B. Community-based (e.g. LMMA, TURF)
C. Co-management
D. Traditional/customary (e.g. ICCA)
E. Other (please specify):","a","b","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The North pacific cooperatives structure for the Amendment 80 and AFA pollock fleets shares some characteristics with co-management (increasing efficiency by allowing industry to self regulate and verify), but they do not share many of the same joint decision making processes of a co-management system. The NP Council (and NFMS) still retains control of the management system at large and allows the cooperatives to operate within certain specified constraints. And while the CDQ program is an allocation directly to a specified set of communities, I'm not sure that fits with the other TURF-type examples that may be considered here. The CDQ program operates on slightly less restrictive rules than when harvesters are fishing on non-CDQ quota, but they apply to the BSAI as a whole rather than a localized area around a community. I included B because there are some special allocations directly to communities/native corporations (Aleut corp for AI pollock) and there have been efforts to create community specific allocations (like for Adak), as well as the North/South processing quota delineation in Crab, which could also be considered some type of community-based governance.",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Governance context","2.3.4.","2.3.4.1.","Who is involved in governance?
A. Multinational fishery management body
B. National government agencies
C. Regional (State, Province, Prefecture, etc.) government agencies
D. Municipal/local government agencies
E. Individual harvesters or harvester associations
F. Dealers, processors or their associations
G. Shoreside businesses
H. Environmental NGOs
I. Community organizations
J. Other (please specify):","a","b","c","d","e","f","g","h","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Governance context","2.3.5.","2.3.5.1.","Do Financial Resources confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,NA,NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,"The remoteness (and lack of adequate telecommunications infrastructure in many Alaska communities) does limit some participant's ability to attend public meetings and provide testimony. These meetings can be a couple weeks long and often occur during the fishing seasons, which can be a hardship for some to make the investment to participate in the system. However, there are also very large corporate fishing operations with deep pockets that can both attend the meetings and provide alternative scientific advice for the SSC and Council to consider.",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Governance context","2.3.5.","2.3.5.2.","Do Human Resources confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,NA,NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Similar to above, there are those who pay governmental liasons (both within a company often in addition as being represented through a trade organization) while other residents of the local communities in western Alaska lack individuals to attend these meetings if they are also trying to prosecute their fisheries.",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Governance context","2.3.5.","2.3.5.3.","Do Social Factors (trust, social networks) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,NA,"c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The governance system is quite political and trust and social networks are important within that system but does evolve over time as interests and participants shift.",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Governance context","2.3.5.","2.3.5.4.","Does Scientific Competency confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,NA,NA,"d",NA,NA,NA,NA,NA,NA,NA,NA,NA,"There is a high degree of scientific competency and a management culture that values being at the forefront of scientific advances. However, that comes at a cost of a very complicated management and scientific organization that it can be really difficult for people to know what information is most important or how to focus their time when they are receiving hundreds of pages of ecosystem, stock status, and economic reports annually. Scientific discussions at the SSC are open to the public, but are difficult to follow if you are not an expert in the field.",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Governance context","2.3.5.","2.3.5.5.","Do Other factors (please specify) confer or limit the capacity to effectively participate in the governance system? Please describe; note whether your selection pertain to particular groups selected above
A. Confers
B. Limits
C. Neither confers or limits
D. Both confers and limits",NA,"b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"State of Alaska Board of Fish/multiple management jurisdictions and authorities that are partially overlapping or in adjacent waters for the same species.","The Alaska Board of Fish has a robust management system that is similar to the NP Council process in many ways, but the proceses are governed by different laws and approaches and can be really confusing for those heavily involved in the state management structure to go to Federal management meetings at the Council and vise-versa. Both management systems are important and necessary, but it does limit the ability for individuals to participate in both for financial, HR/human capital, and timing constraints.",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Governance context","2.3.6.","2.3.6.1.","Is power in the governance system related to religion, gender, ethnic origin, political party, language, race or sexual orientation?
A. Yes, please describe:
B. No",NA,"b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Governance context","2.3.7.","2.3.7.1.","Do power relations cause tension within the fishery?
A. Yes, please describe:
B. No","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sectoral tensions regarding allocation and limits on catch of valuable species incidentally captured in target fisheries.",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.1.","2.4.1.1.","Does a management plan exist for this fishery?
A. Yes, please describe:
B. No","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.2.","2.4.2.1","Who is involved in the management process?
A. Multinational fishery management body
B. National government agencies
C. Regional government agencies (State, Province, Prefecture, etc.)
D. Municipal/local government agencies
E. Idividual harvesters or harvester associations
F. Dealers, processors or their associations
G. Shoreside businesses
H. Environmental NGOs
I. Community organizations
J. Other (please specify):","a","b","c","d","e","f","g","h","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.3.","2.4.3.0.","Who plays the following roles in the fishery management process?  Each may include multiple actors (2.4.3.1 - 2.4.3.5).(Please write response in 'describe' column.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Please leave this row empty.",NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski",NA,"2.4.3.","2.4.3.1.","Determining access and harvest rights","a","b","c","d","e","f","g","h","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski",NA,"2.4.3.","2.4.3.2.","Determining harvest procedures and rules",NA,"b","c","d","e","f","g","h","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski",NA,"2.4.3.","2.4.3.3.","Enforcing rules",NA,"b","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski",NA,"2.4.3.","2.4.3.4.","Monitoring fishery activity (e.g., catch)","a","b","c",NA,"e","f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski",NA,"2.4.3.","2.4.3.5.","Providing scientific information","a","b","c",NA,"e",NA,NA,"h","i",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski",NA,"2.4.3.","2.4.3.6.","Please add any other roles important to fisheries management in your case and indicate which actors play that role.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.4.","2.4.4.1.","What are the tools used to control catch? (please check all that apply)
A. None specific to this fishery
B. Total allowable catch limit
C. Individual catch limit
D. Total allowable effort limit
E. Individual effort limit
F. Size limits
G. Spatial restrictions on fishing
H. Temporal restrictions on fishing
I. Gear restrictions
J. Species restrictions
K. Other (please specify):",NA,"b","c",NA,NA,NA,"g","h","i","j","k",NA,"prohibited species catch limits can constrain catch (I can't tell if that's covered by J or not)",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.5.","2.4.5.1.","What measures are taken to conserve habitats?
A. None specific to this fishery
B. Gear restrictions
C. Season closure
D. Year-round no-take zones
E. Seasonal no-take zones
F. Other (please specify):",NA,"b","c","d","e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.6.","2.4.6.1.","Are management enforced, and if so, how?
A. Not routinely enforced
B. Fines and penalty fees
C. Revocation of access and harvest rights
D. Social ostracism
E. Other (please specify):
",NA,"b","c","d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.7.","2.4.7.1.","What fishery dependent data are collected to support management?
A. Landed volume
B. Discard volume
C. Landed value
D. Size
E. Other (please specify):","a","b","c","d","e",NA,NA,NA,NA,NA,NA,NA,"Also effort, wholesale revenue, some fishing cost data for some vessels in this fishery (A80), quota values",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.7.","2.4.7.2.","Who collects and reports the fishery dependent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Individual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Other (please specify):","a","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm a little confused by the roles here - the fishers catch the fish, but the processors are the ones required to report those landings on fish tickets and it is up to the state or federal management entity to summarize those data and disseminate that information to the public.",NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.7.","2.4.7.3.","Are fishery-independent data (e.g., trawl survey) collected to support management?
A. Yes
B. No","a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.7.","2.4.7.4.","Who collects fishery-independent data?
A. National government agencies
B. Regional (State, Province, Prefecture, etc.) government agencies
C. Municipal/local government agencies
D. Idividual harvesters or harvester associations
E. Dealers, processors or their associations
F. Environmental NGOs
G. Community organizations
H. Universities and/or other scientific organizations
I. Other (please specify):","a","b",NA,"d",NA,NA,"g","h",NA,NA,NA,NA,NA,NA,NA,NA,NA,"I'm not sure whether D or G should be included here. I can't think of any fishery independent data that are collected this way, but I could be missing something.",NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.7.","2.4.7.5.","How often are fishery-independent data collected?
A. Seasonal (2 ~ 4 times a year)
B. Annual 
C. Every 2 ~ 5 years
D. Undermined frequency
E. Other (please specify):","a","b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.7.","2.4.7.6.","Are environmental data collected to support management?
A. No
B. Yes, in situ samples
C. Yes, from buoys
D. Yes, from remote sensing
E. Yes, other (please specify):",NA,"b","c","d","e",NA,NA,NA,NA,NA,NA,NA,"Saildrone",NA,NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.7.","2.4.7.7.","Who collects and manages environmental data?
A. National government agencies
B. Municipal/local government agencies
C. Individual harvesters or harvester associations
D. Dealers, processors or their associations
E. Environmental NGOs
F. Community Regional (State, Province, Prefectures, etc.)
G. Universities and/or other scientific organizations
H. Other (please specify):","a",NA,"c","d",NA,"f","g",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"I wasn't thinking of including C or D here, but are you thinking that there are some contracted vessels that do the surveys and there are observers in the plants collecting samples? Or through cooperative research or EFPs?",NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.8.","2.4.8.1.","What are the general types of information sources used to manage the fishery?
A. Local knowledge
B. Scientific observation
C. Stock assessment process
D. Other (please specify):","a","b","c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Local knowledge is being more explicitly considered in recent years, but there has always been a component of local ecological knowledge throughout the plan team process where the stock assessment models are developed and vetted in public, and often with much assistance from members of the public in interpretting trends in the ecosystem, biological, and fisheries data.",NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.9.","2.4.9.1.","How is stock size tracked? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stock assessments - fishery independent, fishery dependent, age, maturity, selectivity",NA,NA,NA,NA,NA,NA
"Case Study Bering Sea.xlsx","Bering Sea groundfish","Hollowed/Kasperski","Management context","2.4.9.","2.4.9.2.","If stock assessments are in place, what types are used and who conducts them? Please describe.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Statistical age or size based assessments for most stocks.",NA,NA,NA,NA,NA,NA
